Current_Time,Event_Name,Event_Scheduled,Event-Time,Idle_Processors,Service_Processors,Number_Idle_Processors,Buffer_Length,Queue_Length,Entities_System,Shift
21600,START_SIMULATION,21600,21600,0,0,52,0,0,0,-
21652,NEXT_ARRIVAL,21600,21652,2704,0,52,0,0,0,-
21706,NEXT_ARRIVAL,21652,21706,5458,54,51,0,0,1,-
22014,NEXT_ARRIVAL,21706,22014,20858,670,50,0,0,2,-
22160,NEXT_ARRIVAL,22014,22160,28012,1108,49,0,0,3,-
22238,NEXT_ARRIVAL,22160,22238,31756,1420,48,0,0,4,-
22245,NEXT_ARRIVAL,22238,22245,32085,1455,47,0,0,5,-
22247,NEXT_ARRIVAL,22245,22247,32177,1467,46,0,0,6,-
22387,NEXT_ARRIVAL,22247,22387,38477,2447,45,0,0,7,-
22744,NEXT_ARRIVAL,22387,22744,54185,5303,44,0,0,8,-
22802,NEXT_ARRIVAL,22744,22802,56679,5825,43,0,0,9,-
22814,NEXT_ARRIVAL,22802,22814,57183,5945,42,0,0,10,-
22829,NEXT_ARRIVAL,22814,22829,57798,6110,41,0,0,11,-
22898,NEXT_ARRIVAL,22829,22898,60558,6938,40,0,0,12,-
22927,NEXT_ARRIVAL,22898,22927,61689,7315,39,0,0,13,-
22984,NEXT_ARRIVAL,22927,22984,63855,8113,38,0,0,14,-
22986,NEXT_ARRIVAL,22984,22986,63929,8143,37,0,0,15,-
23074,NEXT_ARRIVAL,22986,23074,67097,9551,36,0,0,16,-
23230,END_SERVICE,21652,23230,72557,12203,35,0,0,17,-
23284,END_SERVICE,21706,23284,74501,13067,36,0,0,16,-
23341,NEXT_ARRIVAL,23074,23341,76610,13922,37,0,0,15,-
23383,NEXT_ARRIVAL,23341,23383,78122,14594,36,0,0,16,-
23494,NEXT_ARRIVAL,23383,23494,82007,16481,35,0,0,17,-
23592,END_SERVICE,22014,23592,85339,18245,34,0,0,18,-
23596,NEXT_ARRIVAL,23494,23596,85479,18313,35,0,0,17,-
23618,NEXT_ARRIVAL,23596,23618,86227,18709,34,0,0,18,-
23654,NEXT_ARRIVAL,23618,23654,87415,19393,33,0,0,19,-
23733,NEXT_ARRIVAL,23654,23733,89943,20973,32,0,0,20,-
23738,END_SERVICE,22160,23738,90098,21078,31,0,0,21,-
23816,END_SERVICE,22238,23816,92594,22638,32,0,0,20,-
23823,END_SERVICE,22245,23823,92825,22771,33,0,0,19,-
23825,END_SERVICE,22247,23825,92893,22807,34,0,0,18,-
23965,END_SERVICE,22387,23965,97793,25187,35,0,0,17,-
24146,NEXT_ARRIVAL,23733,24146,104309,28083,36,0,0,16,-
24168,NEXT_ARRIVAL,24146,24168,105079,28457,35,0,0,17,-
24267,NEXT_ARRIVAL,24168,24267,108445,30239,34,0,0,18,-
24322,END_SERVICE,22744,24322,110260,31284,33,0,0,19,-
24326,NEXT_ARRIVAL,24267,24326,110396,31356,34,0,0,18,-
24343,NEXT_ARRIVAL,24326,24343,110957,31679,33,0,0,19,-
24380,END_SERVICE,22802,24380,112141,32419,32,0,0,20,-
24392,END_SERVICE,22814,24392,112537,32647,33,0,0,19,-
24407,END_SERVICE,22829,24407,113047,32917,34,0,0,18,-
24442,NEXT_ARRIVAL,24343,24442,114272,33512,35,0,0,17,-
24463,NEXT_ARRIVAL,24442,24463,114986,33890,34,0,0,18,-
24476,END_SERVICE,22898,24476,115415,34137,33,0,0,19,-
24505,END_SERVICE,22927,24505,116401,34659,34,0,0,18,-
24562,END_SERVICE,22984,24562,118396,35628,35,0,0,17,-
24564,END_SERVICE,22986,24564,118468,35660,36,0,0,16,-
24623,NEXT_ARRIVAL,24463,24623,120651,36545,37,0,0,15,-
24652,END_SERVICE,23074,24652,121695,37009,36,0,0,16,-
24792,NEXT_ARRIVAL,24623,24792,126875,39109,37,0,0,15,-
24919,END_SERVICE,23341,24919,131447,41141,36,0,0,16,-
24961,END_SERVICE,23383,24961,133001,41771,37,0,0,15,-
25072,END_SERVICE,23494,25072,137219,43325,38,0,0,14,-
25140,NEXT_ARRIVAL,24792,25140,139871,44209,39,0,0,13,-
25174,END_SERVICE,23596,25174,141163,44685,38,0,0,14,-
25196,END_SERVICE,23618,25196,142021,44971,39,0,0,13,-
25232,END_SERVICE,23654,25232,143461,45403,40,0,0,12,-
25311,END_SERVICE,23733,25311,146700,46272,41,0,0,11,-
25489,NEXT_ARRIVAL,25140,25489,154176,48052,42,0,0,10,-
25614,NEXT_ARRIVAL,25489,25614,159301,49427,41,0,0,11,-
25645,NEXT_ARRIVAL,25614,25645,160541,49799,40,0,0,12,-
25678,NEXT_ARRIVAL,25645,25678,161828,50228,39,0,0,13,-
25714,NEXT_ARRIVAL,25678,25714,163196,50732,38,0,0,14,-
25721,NEXT_ARRIVAL,25714,25721,163455,50837,37,0,0,15,-
25724,END_SERVICE,24146,25724,163563,50885,36,0,0,16,-
25746,END_SERVICE,24168,25746,164377,51215,37,0,0,15,-
25799,NEXT_ARRIVAL,25721,25799,166391,51957,38,0,0,14,-
25845,END_SERVICE,24267,25845,168093,52647,37,0,0,15,-
25868,NEXT_ARRIVAL,25799,25868,168967,52969,38,0,0,14,-
25904,END_SERVICE,24326,25904,170299,53509,37,0,0,15,-
25921,END_SERVICE,24343,25921,170945,53747,38,0,0,14,-
25948,NEXT_ARRIVAL,25868,25948,171998,54098,39,0,0,13,-
25984,NEXT_ARRIVAL,25948,25984,173366,54602,38,0,0,14,-
25998,NEXT_ARRIVAL,25984,25998,173884,54812,37,0,0,15,-
26020,END_SERVICE,24442,26020,174676,55164,36,0,0,16,-
26030,NEXT_ARRIVAL,25998,26030,175046,55314,37,0,0,15,-
26041,END_SERVICE,24463,26041,175442,55490,36,0,0,16,-
26112,NEXT_ARRIVAL,26030,26112,178069,56555,37,0,0,15,-
26201,END_SERVICE,24623,26201,181273,57979,36,0,0,16,-
26276,NEXT_ARRIVAL,26112,26276,184048,59104,37,0,0,15,-
26370,END_SERVICE,24792,26370,187432,60608,36,0,0,16,-
26381,NEXT_ARRIVAL,26276,26381,187839,60773,37,0,0,15,-
26505,NEXT_ARRIVAL,26381,26505,192303,62757,36,0,0,16,-
26532,NEXT_ARRIVAL,26505,26532,193248,63216,35,0,0,17,-
26616,NEXT_ARRIVAL,26532,26616,196104,64728,34,0,0,18,-
26640,NEXT_ARRIVAL,26616,26640,196896,65184,33,0,0,19,-
26695,NEXT_ARRIVAL,26640,26695,198656,66284,32,0,0,20,-
26718,END_SERVICE,25140,26718,199369,66767,31,0,0,21,-
26807,NEXT_ARRIVAL,26695,26807,202217,68547,32,0,0,20,-
26963,NEXT_ARRIVAL,26807,26963,207053,71823,31,0,0,21,-
27067,END_SERVICE,25489,27067,210173,74111,30,0,0,22,-
27161,NEXT_ARRIVAL,26963,27161,213087,76085,31,0,0,21,-
27192,END_SERVICE,25614,27192,214017,76767,30,0,0,22,-
27223,END_SERVICE,25645,27223,214978,77418,31,0,0,21,-
27256,END_SERVICE,25678,27256,216034,78078,32,0,0,20,-
27292,END_SERVICE,25714,27292,217222,78762,33,0,0,19,-
27299,END_SERVICE,25721,27299,217460,78888,34,0,0,18,-
27359,NEXT_ARRIVAL,27161,27359,219560,79908,35,0,0,17,-
27377,END_SERVICE,25799,27377,220172,80232,34,0,0,18,-
27446,END_SERVICE,25868,27446,222587,81405,35,0,0,17,-
27479,NEXT_ARRIVAL,27359,27479,223775,81933,36,0,0,16,-
27526,END_SERVICE,25948,27526,225420,82732,35,0,0,17,-
27562,END_SERVICE,25984,27562,226716,83308,36,0,0,16,-
27576,END_SERVICE,25998,27576,227234,83518,37,0,0,15,-
27608,END_SERVICE,26030,27608,228450,83966,38,0,0,14,-
27690,END_SERVICE,26112,27690,231648,85032,39,0,0,13,-
27769,NEXT_ARRIVAL,27479,27769,234808,85980,40,0,0,12,-
27821,NEXT_ARRIVAL,27769,27821,236836,86656,39,0,0,13,-
27823,NEXT_ARRIVAL,27821,27823,236912,86684,38,0,0,14,-
27854,END_SERVICE,26276,27854,238059,87149,37,0,0,15,-
27923,NEXT_ARRIVAL,27823,27923,240681,88115,38,0,0,14,-
27959,END_SERVICE,26381,27959,242013,88655,37,0,0,15,-
28013,NEXT_ARRIVAL,27923,28013,244065,89411,38,0,0,14,-
28027,NEXT_ARRIVAL,28013,28027,244583,89621,37,0,0,15,-
28083,END_SERVICE,26505,28083,246599,90517,36,0,0,16,-
28106,NEXT_ARRIVAL,28027,28106,247450,90862,37,0,0,15,-
28110,END_SERVICE,26532,28110,247594,90926,36,0,0,16,-
28186,NEXT_ARRIVAL,28106,28186,250406,92066,37,0,0,15,-
28194,END_SERVICE,26616,28194,250694,92194,36,0,0,16,-
28218,END_SERVICE,26640,28218,251582,92554,37,0,0,15,-
28273,END_SERVICE,26695,28273,253672,93324,38,0,0,14,-
28284,NEXT_ARRIVAL,28186,28284,254101,93467,39,0,0,13,-
28385,END_SERVICE,26807,28385,257939,94881,38,0,0,14,-
28495,NEXT_ARRIVAL,28284,28495,262229,96311,39,0,0,13,-
28541,END_SERVICE,26963,28541,263977,96955,38,0,0,14,-
28549,NEXT_ARRIVAL,28495,28549,264289,97059,39,0,0,13,-
28702,NEXT_ARRIVAL,28549,28702,270103,99201,38,0,0,14,-
28712,NEXT_ARRIVAL,28702,28712,270473,99351,37,0,0,15,-
28739,END_SERVICE,27161,28739,271445,99783,36,0,0,16,-
28829,NEXT_ARRIVAL,28712,28829,274775,101133,37,0,0,15,-
28844,NEXT_ARRIVAL,28829,28844,275315,101373,36,0,0,16,-
28861,NEXT_ARRIVAL,28844,28861,275910,101662,35,0,0,17,-
28874,NEXT_ARRIVAL,28861,28874,276352,101896,34,0,0,18,-
28937,END_SERVICE,27359,28937,278431,103093,33,0,0,19,-
29027,NEXT_ARRIVAL,28874,29027,281491,104713,34,0,0,18,-
29057,END_SERVICE,27479,29057,282481,105283,33,0,0,19,-
29076,NEXT_ARRIVAL,29027,29076,283127,105625,34,0,0,18,-
29187,NEXT_ARRIVAL,29076,29187,286790,107734,33,0,0,19,-
29306,NEXT_ARRIVAL,29187,29306,290598,110114,32,0,0,20,-
29347,END_SERVICE,27769,29347,291869,110975,31,0,0,21,-
