Current_Time,Event_Name,Event_Scheduled,Event_Time,Idle_Processors,Service_Processors,Queue_Length,Entities_System
21600,START_SIMULATION,21600,21600,0,0,0,0
21633,NEXT_ARRIVAL,21600,21633,33,0,0,0
21667,END_SERVICE,21633,21667,33,34,0,1
21671,NEXT_ARRIVAL,21633,21671,37,34,0,0
21693,END_SERVICE,21671,21693,37,56,0,1
21694,NEXT_ARRIVAL,21671,21694,38,56,0,0
21718,NEXT_ARRIVAL,21694,21718,38,80,0,1
21722,END_SERVICE,21694,21722,38,84,1,2
21808,NEXT_ARRIVAL,21718,21808,38,170,0,1
21811,END_SERVICE,21722,21811,38,173,1,2
21828,NEXT_ARRIVAL,21808,21828,38,190,0,1
21854,END_SERVICE,21811,21854,38,216,1,2
21859,NEXT_ARRIVAL,21828,21859,38,221,0,1
21877,END_SERVICE,21854,21877,38,239,1,2
21879,END_SERVICE,21877,21879,38,241,0,1
21964,NEXT_ARRIVAL,21859,21964,123,241,0,0
21965,NEXT_ARRIVAL,21964,21965,123,242,0,1
21967,END_SERVICE,21964,21967,123,244,1,2
22008,END_SERVICE,21967,22008,123,285,0,1
22038,NEXT_ARRIVAL,21965,22038,153,285,0,0
22093,END_SERVICE,22038,22093,153,340,0,1
22193,NEXT_ARRIVAL,22038,22193,253,340,0,0
22218,NEXT_ARRIVAL,22193,22218,253,365,0,1
22237,END_SERVICE,22193,22237,253,384,1,2
22241,END_SERVICE,22237,22241,253,388,0,1
22280,NEXT_ARRIVAL,22218,22280,292,388,0,0
22287,NEXT_ARRIVAL,22280,22287,292,395,0,1
22308,END_SERVICE,22280,22308,292,416,1,2
22328,END_SERVICE,22308,22328,292,436,0,1
22404,NEXT_ARRIVAL,22287,22404,368,436,0,0
22417,NEXT_ARRIVAL,22404,22417,368,449,0,1
22419,END_SERVICE,22404,22419,368,451,1,2
22436,END_SERVICE,22419,22436,368,468,0,1
22477,NEXT_ARRIVAL,22417,22477,409,468,0,0
22478,NEXT_ARRIVAL,22477,22478,409,469,0,1
22500,END_SERVICE,22477,22500,409,491,1,2
22517,NEXT_ARRIVAL,22478,22517,409,508,0,1
22526,END_SERVICE,22500,22526,409,517,1,2
22556,NEXT_ARRIVAL,22517,22556,409,547,0,1
22603,NEXT_ARRIVAL,22556,22603,409,594,1,2
22604,END_SERVICE,22526,22604,409,595,2,3
22620,END_SERVICE,22604,22620,409,611,1,2
22621,NEXT_ARRIVAL,22603,22621,409,612,0,1
22624,NEXT_ARRIVAL,22621,22624,409,615,1,2
22653,END_SERVICE,22620,22653,409,644,2,3
22669,NEXT_ARRIVAL,22624,22669,409,660,1,2
22679,NEXT_ARRIVAL,22669,22679,409,670,2,3
22683,END_SERVICE,22653,22683,409,674,3,4
22685,NEXT_ARRIVAL,22679,22685,409,676,2,3
22694,END_SERVICE,22683,22694,409,685,3,4
22704,NEXT_ARRIVAL,22685,22704,409,695,2,3
22717,END_SERVICE,22694,22717,409,708,3,4
22728,NEXT_ARRIVAL,22704,22728,409,719,2,3
22733,NEXT_ARRIVAL,22728,22733,409,724,3,4
22743,NEXT_ARRIVAL,22733,22743,409,734,4,5
22751,NEXT_ARRIVAL,22743,22751,409,742,5,6
22794,NEXT_ARRIVAL,22751,22794,409,785,6,7
